Scopus Author Ids,Authors
 35761038800,"[' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.', ' Guedes, L.A.']"
 35762972500,"[' de Paiva, J.A.', ' de Paiva, J.A.', ' de Paiva, J.A.', ' de Paiva, J.A.', ' de Paiva, J.A.']"
 36006732600,"[' de Matos, L.J.']"
 36045958600,"[' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.', ' Principe, J.C.']"
 36160299900,"[' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.', ' Endo, P.T.']"
 36166525500,"[' De Souza, C.P.', ' De Souza, C.P.']"
 36175720000,"[' Jorge, V.', ' Jorge, V.', ' Jorge, V.', ' Jorge, V.', ' Jorge, V.', ' Jorge, V.']"
 36238364200,"[' Serres, A.J.R.', ' Serres, A.J.R.', ' Serres, A.J.R.', ' Serres, A.J.R.']"
 36536729900,"[' da Guia da Silva, M.', ' da Guia da Silva, M.', ' da Guia da Silva, M.', ' da Guia da Silva, M.', ' da Guia da Silva, M.', ' da Guia da Silva, M.']"
 36537969500,"[' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Da Silva, I.M.D.', ' Da Silva, I.M.D.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.', ' Silva, I.']"
 36605052700,"[' Netto, J.', ' Netto, J.']"
 36605833100,"[' Araújo, R.P.', ' Araújo, R.P.', ' Araújo, R.P.', ' Araújo, R.P.', ' Araújo, R.P.', ' Araújo, R.P.']"
 36705539600,"[' Comite, V.', ' Comite, V.']"
 36808912600,"[' Araujo, J.M.', ' Araujo, J.M.', ' Araujo, J.M.']"
 36865976500,"[' de Araújo, H.X.', ' Araujo, H.X.', ' Araujo, H.X.', ' Araujo, H.X.', ' Araujo, H.X.']"
 36944994400,"[' Piscitelli, P.', ' Piscitelli, P.', ' Piscitelli, P.']"
 37078903900,"[' Bezerra, L.C.T.']"
 37261839800,"[' Palmeira, E.S.', ' Palmeira, E.S.', ' Palmeira, E.S.', ' Palmeira, E.S.']"
 41262081900,"[' Padilha, C.A.A.', ' Padilha, C.A.A.']"
 44860941900,"[' Luque, J.C.C.', ' Luque, J.C.C.', ' Luque, J.C.C.']"
 50661492500,"[' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.', ' Nogueira, M.B.']"
